Source,Target,Type,Id,Label,Weight
5,21,Directed,255,P2,1.0
17,196,Directed,201,P2,1.0
18,3,Directed,266,-P71,1.0
18,28,Directed,267,P90,1.0
21,11,Directed,273,-P71,1.0
31,140,Directed,144,P2,1.0
36,18,Directed,297,P91,1.0
36,63,Directed,298,-P71,1.0
44,8,Directed,305,P3,1.0
69,17,Directed,332,P1,1.0
69,36,Directed,337,P43,1.0
69,54,Directed,200,P1,1.0
69,71,Directed,346,P53,1.0
69,105,Directed,413,P3,1.0
69,106,Directed,414,P2,1.0
69,154,Directed,160,-P92,1.0
69,155,Directed,161,-P93,1.0
69,194,Directed,198,P2,1.0
71,5,Directed,349,P87,1.0
71,31,Directed,350,P87,1.0
71,44,Directed,351,P87,1.0
71,174,Directed,181,P89,1.0
71,176,Directed,180,P45,1.0
71,177,Directed,183,P89,1.0
71,178,Directed,184,P89,1.0
71,179,Directed,197,P89,1.0
71,181,Directed,182,P89,1.0
71,198,Directed,204,P2,1.0
106,107,Directed,415,-P71,1.0
140,141,Directed,145,-P71,1.0
154,156,Directed,162,P2,1.0
154,158,Directed,164,P4,1.0
155,160,Directed,166,P2,1.0
155,162,Directed,168,P4,1.0
156,157,Directed,163,-P71,1.0
158,159,Directed,165,P78,1.0
160,161,Directed,167,-P71,1.0
162,165,Directed,169,P78,1.0
178,182,Directed,186,-P71,1.0
179,183,Directed,187,-P71,1.0
194,195,Directed,199,-P71,1.0
196,197,Directed,202,-P71,1.0
198,199,Directed,203,-P71,1.0
